20170131 20:52:05.744 - [IMSS] Group: 259, OrderBookId: 2535
20170131 20:52:05.745 - [IMTP][CLEAR] OrderBookId: 2535, Side: B
20170131 20:52:05.745 - [IMTP][CLEAR] OrderBookId: 2535, Side: S
20170131 20:52:05.745 - [IMSS] Group: 259, OrderBookId: 1482
20170131 20:52:05.746 - [IMTP][CLEAR] OrderBookId: 1482, Side: B
20170131 20:52:05.746 - [IMTP][CLEAR] OrderBookId: 1482, Side: S
20170131 20:52:05.746 - [IMSS] Group: 259, OrderBookId: 2521
20170131 20:52:05.746 - [IMTP][CLEAR] OrderBookId: 2521, Side: B
20170131 20:52:05.746 - [IMTP][CLEAR] OrderBookId: 2521, Side: S
20170131 20:52:05.746 - [IMSS] Group: 259, OrderBookId: 1440
20170131 20:52:05.747 - [IMTP][CLEAR] OrderBookId: 1440, Side: B
20170131 20:52:05.747 - [IMTP][CLEAR] OrderBookId: 1440, Side: S
20170131 20:52:05.747 - [IMSS] Group: 259, OrderBookId: 5232
20170131 20:52:05.748 - [IMTP][CLEAR] OrderBookId: 5232, Side: B
20170131 20:52:05.748 - [IMTP][CLEAR] OrderBookId: 5232, Side: S
20170131 20:52:05.748 - [IMSS] Group: 259, OrderBookId: 2007
20170131 20:52:05.748 - [IMTP][CLEAR] OrderBookId: 2007, Side: B
20170131 20:52:05.748 - [IMTP][CLEAR] OrderBookId: 2007, Side: S
20170131 20:52:05.749 - [IMSS] Group: 259, OrderBookId: 17246
20170131 20:52:05.749 - [IMTP][CLEAR] OrderBookId: 17246, Side: B
20170131 20:52:05.749 - [IMTP][CLEAR] OrderBookId: 17246, Side: S
20170131 20:52:05.749 - [IMSS] Group: 259, OrderBookId: 1451
20170131 20:52:05.750 - [IMTP][CLEAR] OrderBookId: 1451, Side: B
20170131 20:52:05.750 - [IMTP][CLEAR] OrderBookId: 1451, Side: S
20170131 20:52:05.750 - [IMSS] Group: 259, OrderBookId: 2391
20170131 20:52:05.751 - [IMTP][CLEAR] OrderBookId: 2391, Side: B
20170131 20:52:05.751 - [IMTP][CLEAR] OrderBookId: 2391, Side: S
20170131 20:52:05.751 - [IMSS] Group: 259, OrderBookId: 2052
20170131 20:52:05.752 - [IMTP][CLEAR] OrderBookId: 2052, Side: B
20170131 20:52:05.752 - [IMTP][CLEAR] OrderBookId: 2052, Side: S
20170131 20:52:05.752 - [IMSS] Group: 259, OrderBookId: 17221
20170131 20:52:05.752 - [IMTP][CLEAR] OrderBookId: 17221, Side: B
20170131 20:52:05.752 - [IMTP][CLEAR] OrderBookId: 17221, Side: S
20170131 20:52:05.752 - [IMSS] Group: 259, OrderBookId: 2749
20170131 20:52:05.753 - [IMTP][CLEAR] OrderBookId: 2749, Side: B
20170131 20:52:05.753 - [IMTP][CLEAR] OrderBookId: 2749, Side: S
20170131 20:52:05.753 - [IMSS] Group: 259, OrderBookId: 3377
20170131 20:52:05.754 - [IMTP][CLEAR] OrderBookId: 3377, Side: B
20170131 20:52:05.754 - [IMTP][CLEAR] OrderBookId: 3377, Side: S
20170131 20:52:05.754 - [IMSS] Group: 259, OrderBookId: 2842
20170131 20:52:05.755 - [IMTP][CLEAR] OrderBookId: 2842, Side: B
20170131 20:52:05.755 - [IMTP][CLEAR] OrderBookId: 2842, Side: S
20170131 20:52:05.755 - [IMSS] Group: 259, OrderBookId: 1197
20170131 20:52:05.755 - [IMTP][CLEAR] OrderBookId: 1197, Side: B
20170131 20:52:05.755 - [IMTP][CLEAR] OrderBookId: 1197, Side: S
20170131 20:52:05.755 - [IMSS] Group: 259, OrderBookId: 8758
20170131 20:52:05.756 - [IMTP][CLEAR] OrderBookId: 8758, Side: B
20170131 20:52:05.756 - [IMTP][CLEAR] OrderBookId: 8758, Side: S
20170131 20:52:05.756 - [IMSS] Group: 259, OrderBookId: 1709
20170131 20:52:05.757 - [IMTP][CLEAR] OrderBookId: 1709, Side: B
20170131 20:52:05.757 - [IMTP][CLEAR] OrderBookId: 1709, Side: S
20170131 20:52:05.757 - [IMSS] Group: 259, OrderBookId: 1586
20170131 20:52:05.758 - [IMTP][CLEAR] OrderBookId: 1586, Side: B
20170131 20:52:05.758 - [IMTP][CLEAR] OrderBookId: 1586, Side: S
20170131 20:52:05.758 - [IMSS] Group: 259, OrderBookId: 1620
20170131 20:52:05.758 - [IMTP][CLEAR] OrderBookId: 1620, Side: B
20170131 20:52:05.758 - [IMTP][CLEAR] OrderBookId: 1620, Side: S
20170131 20:52:05.758 - [IMSS] Group: 259, OrderBookId: 3043
20170131 20:52:05.759 - [IMTP][CLEAR] OrderBookId: 3043, Side: B
20170131 20:52:05.759 - [IMTP][CLEAR] OrderBookId: 3043, Side: S
20170131 20:52:05.759 - [IMSS] Group: 259, OrderBookId: 9326
20170131 20:52:05.760 - [IMTP][CLEAR] OrderBookId: 9326, Side: B
20170131 20:52:05.760 - [IMTP][CLEAR] OrderBookId: 9326, Side: S
20170131 20:52:05.760 - [IMSS] Group: 259, OrderBookId: 1520
20170131 20:52:05.761 - [IMTP][CLEAR] OrderBookId: 1520, Side: B
20170131 20:52:05.761 - [IMTP][CLEAR] OrderBookId: 1520, Side: S
20170131 20:52:05.761 - [IMSS] Group: 259, OrderBookId: 1913
20170131 20:52:05.761 - [IMTP][CLEAR] OrderBookId: 1913, Side: B
20170131 20:52:05.761 - [IMTP][CLEAR] OrderBookId: 1913, Side: S
20170131 20:52:05.762 - [IMSS] Group: 259, OrderBookId: 1497
20170131 20:52:05.762 - [IMTP][CLEAR] OrderBookId: 1497, Side: B
20170131 20:52:05.762 - [IMTP][CLEAR] OrderBookId: 1497, Side: S
20170131 20:52:05.762 - [IMSS] Group: 259, OrderBookId: 19261
20170131 20:52:05.763 - [IMTP][CLEAR] OrderBookId: 19261, Side: B
20170131 20:52:05.763 - [IMTP][CLEAR] OrderBookId: 19261, Side: S
20170131 20:52:05.763 - [IMSS] Group: 259, OrderBookId: 1643
20170131 20:52:05.764 - [IMTP][CLEAR] OrderBookId: 1643, Side: B
20170131 20:52:05.764 - [IMTP][CLEAR] OrderBookId: 1643, Side: S
20170131 20:52:05.764 - [IMSS] Group: 259, OrderBookId: 1963
20170131 20:52:05.764 - [IMTP][CLEAR] OrderBookId: 1963, Side: B
20170131 20:52:05.764 - [IMTP][CLEAR] OrderBookId: 1963, Side: S
20170131 20:52:05.764 - [IMSS] Group: 259, OrderBookId: 1361
20170131 20:52:05.765 - [IMTP][CLEAR] OrderBookId: 1361, Side: B
20170131 20:52:05.765 - [IMTP][CLEAR] OrderBookId: 1361, Side: S
20170131 20:52:05.765 - [IMSS] Group: 259, OrderBookId: 1943
20170131 20:52:05.766 - [IMTP][CLEAR] OrderBookId: 1943, Side: B
20170131 20:52:05.766 - [IMTP][CLEAR] OrderBookId: 1943, Side: S
20170131 20:52:05.766 - [IMSS] Group: 259, OrderBookId: 1220
20170131 20:52:05.767 - [IMTP][CLEAR] OrderBookId: 1220, Side: B
20170131 20:52:05.767 - [IMTP][CLEAR] OrderBookId: 1220, Side: S
20170131 20:52:05.767 - [IMSS] Group: 259, OrderBookId: 7983
20170131 20:52:05.767 - [IMTP][CLEAR] OrderBookId: 7983, Side: B
20170131 20:52:05.767 - [IMTP][CLEAR] OrderBookId: 7983, Side: S
20170131 20:52:05.767 - [IMSS] Group: 259, OrderBookId: 1821
20170131 20:52:05.768 - [IMTP][CLEAR] OrderBookId: 1821, Side: B
